Quantity,Name,Scryfall ID
2,"Aang, A Lot to Learn",50a22ad6-d2a4-48a6-91c9-147c946a60a5
1,"Aang, at the Crossroads // Aang, Destined Savior",fea89ca0-8070-4f28-9851-994314f9d248
1,"Aang, at the Crossroads // Aang, Destined Savior",fea89ca0-8070-4f28-9851-994314f9d248
1,Aang's Journey,5e51f727-5a9b-4bc7-83a9-dbcf1c933e15
1,Aang's Journey,5e51f727-5a9b-4bc7-83a9-dbcf1c933e15
1,"Aang, the Last Airbender",245e008c-e073-443f-9592-6f628c0026ec
3,"Aang, the Last Airbender",245e008c-e073-443f-9592-6f628c0026ec
1,Aardvark Sloth,e16365a2-4969-4ad5-af95-9dd2d0499f06
1,Abandon Attachments,74ca45a4-97ab-4255-9129-884e8b42b984
3,Abrade,c1466ae6-9dbc-4ead-844b-9b1ba7274baf
1,"Abuelo, Ancestral Echo",40eee689-2514-421a-8056-eb7668be66ff
1,Abuelo's Awakening,f93b725e-2b9c-4830-ac54-b2562afe09bb
1,Abyssal Gorestalker,a559f77f-1f10-475b-9361-7f297d50f254
1,Accomplished Automaton,aa453daf-6ceb-4e45-bfb3-f6f45835ac11
1,Accorder's Shield,c5a4c2ab-c5bc-4e07-8671-a688ebd5471c
1,Acidic Slime,7dfeb1d1-7b2d-4235-902f-22a62af5dc0f
1,Acolyte of Aclazotz,99009400-ffa4-40af-8305-78295ae605ac
2,Acrobatic Leap,47f82d84-03ad-42dd-80ce-f0ac5e353e46
1,Act of Treason,20234668-53ce-4cc8-892f-30ee3ecfc34c
1,Adamant Will,1fd2c9ab-b3dd-4f68-b91f-0f075a045757
1,Adaptive Gemguard,83c91e24-b7e8-4040-80cb-d1b375002c10
1,Advanced Stitchwing,044b2bfc-a5cc-4505-831d-5e1e3a6fdb3c
1,Adventurer's Inn,f0da2ee1-986e-4cbf-92eb-d96fdb572ca5
1,Aether Theorist,882b5580-ee23-4d65-a2b3-82475d6faf8e
1,Aggressive Mammoth,7724b978-999b-4654-96f3-58e28aa7cb34
1,"Agrus Kos, Spirit of Justice",58aeac7c-1275-49d4-9915-7604ae4bfdff
1,Ahn-Crop Invader,2dea2466-5c7f-40ce-b749-100ae89d2c90
1,Aid the Fallen,5f8bc010-f1af-42a2-9009-2039cf3d8f0a
1,Ainok Survivalist,0f4b5b18-569f-4f61-ad2f-966ba4fbabdc
1,Airbender Ascension,99a90d13-891c-45cc-b1d5-6080ebae5862
2,Airbender's Reversal,6b7078e4-2892-4b5f-83ab-90369e0d6dba
3,Airbending Lesson,e2bcd0a6-e94d-4a21-a334-a57459c1b8cc
2,Airbending Lesson,e2bcd0a6-e94d-4a21-a334-a57459c1b8cc
2,Airbending Lesson,e2bcd0a6-e94d-4a21-a334-a57459c1b8cc
1,Airlift Chaplain,7ad55575-6053-43b1-9496-bcb1ea25e2a1
2,Air Nomad Legacy,10874416-fa4c-4aa3-b885-4351d011d208
1,Air Nomad Student,18e539c8-f0c5-4715-97a5-b060d996eef2
1,Air Response Unit,d77c8e29-de24-4664-baf8-959608dd99ca
1,Airship Engine Room,0b98ba34-f251-4bd0-9d75-1d4445be5cfd
1,Airship Engine Room,0b98ba34-f251-4bd0-9d75-1d4445be5cfd
5,Airtight Alibi,bffbbe21-0a1d-48b9-903e-81c109aa11de
1,Ajani's Pridemate,222c1a68-e34c-4103-b1be-17d4ceaef6ce
1,"Akawalli, the Seething Tower",88e9dbe6-5685-480d-b0d7-828a7058fb22
1,"Akawalli, the Seething Tower",3ee62dd1-97d0-4e5d-8937-26c9e51e9414
1,Akki Avalanchers,bfef6acb-a11c-4a3f-9cfb-9394dece2675
1,Akki Ronin,fa16ee8e-d33a-40e9-9956-e345f0511819
1,All-Fates Scroll,3a5ed010-cb17-45df-b169-ebc807dae534
1,All-Fates Stalker,82ae4f7b-8122-4af6-8079-888eabf1a11e
1,Alpine Guide,e54423c1-ebea-4b5c-b563-1d14c104eb91
1,Alpine Houndmaster,43224e74-2c51-40bd-bc34-f66e990a3e33
1,Amazing Acrobatics,9a2f6d84-3d83-4f48-9906-11f681171930
1,Ambition's Cost,808a8b36-532f-4f38-9cfc-6c715d4ee4f6
1,Ambitious Aetherborn,80cb628e-fa83-4d7e-92cb-8779ea02193f
1,Ambulatory Edifice,43c9005c-0574-4b75-8dbf-0a6641c3ae33
1,Ambush Viper,37f9be6b-ae6e-4708-9749-83bebd351102
1,Ancestor Dragon,df43d9d4-3fef-4a56-8b38-d52824117201
1,Ancestors' Aid,e90d5b7d-e27d-42d6-ba7a-d4a6b0dd8549
1,Ancestral Blade,24705dee-027c-42a2-8505-66c0a34a4a58
1,Ancestral Reminiscence,625690d3-7131-45de-adea-9c927241e661
1,Ancient Craving,f9b3ad9c-ef51-4ba6-a126-ec25d8f25b78
1,Ancient Vendetta,230301f2-f288-4b13-9f62-e649ad8357bb
2,Angelic Edict,c0bf349e-2974-4aea-a5c0-fdaea77325cc
1,Angel's Mercy,43e6d650-4e96-43a3-8b94-7f044d3b2f82
1,Angler Turtle,9c8d57fc-9695-45df-8b88-0048330608bd
2,"Anim Pakal, Thousandth Moon",868856b7-8875-43c1-8249-0f8fb2c8319b
1,Annex Sentry,04baad61-1b51-4602-9e33-0de4a9f34793
1,Annihilating Glare,be5d0b95-ec12-4e8e-99a0-7aca457f9107
1,Anoint with Affliction,f7dc55a8-290f-4666-90ce-aa632e87c5e7
2,Another Chance,20d9eb9f-2fcc-49f0-99c1-bad748239466
1,Anticausal Vestige,35372b69-6086-44e0-9f7c-681e362e5142
1,"Anti-Venom, Horrifying Healer",560384fe-7be0-4b93-a515-2fe687ab2492
1,Apocalypse Runner,971286f5-77ea-4824-91de-f0ac88c46238
2,Apostle of Invasion,8a973487-5def-4771-bb77-5748cbd2f469
3,"Appa, Loyal Sky Bison",a9b2a843-c6fe-4d19-801e-1538e4381ab0
1,Appetite for the Unnatural,b8aa8840-31f8-4263-b992-40584e31595a
2,Aquamoeba,62721a55-37c6-4c05-aedf-0aa203045afa
2,Arachnus Spinner,a782fbd4-36fe-4da7-a73f-20d533de8960
1,Arborea Pegasus,fc45c9d4-ecc7-4a9d-9efe-f4b7d697dd97
1,Arcane Epiphany,06431793-5dfe-4cbf-990b-4bcc960d1f31
1,Arcbound Condor,e7995b44-7932-4d28-9a4c-a32ba35c60d7
1,Arcbound Javelineer,fe4a2cb0-4129-451e-a946-a21ea646cc28
1,Archangel,3741b2a7-7bda-481a-b8f8-9b04c96035b0
1,Archangel of Wrath,2d00bab2-e95d-4296-a805-2a05e7640efb
1,Archon's Glory,e71768e7-4ef7-4fb2-838b-eb3a7f662d38
1,Arcus Acolyte,d8546eaa-1e64-4e70-b6a5-85892bab8c47
2,Argivian Cavalier,57746e72-ba9f-4717-a4a2-6c6a039080c3
1,Argivian Phalanx,afbadc37-1b4f-4237-a3c0-772bafb18aa0
1,Argivian Restoration,3f14b3a6-5490-4a50-9449-542e23f1d6b1
2,Armored Kincaller,b76a46a1-a63e-460a-98c5-699dd1c827aa
1,Armored Warhorse,52daf505-d436-4ea6-a157-4268af2ff7a8
1,Armory Guard,322fdd11-7874-46f6-adc5-051119a6c978
1,Arrow Storm,c57534fb-2591-4003-aeec-6452faa4a759
1,Artificer's Assistant,deadf867-b999-49b2-88d8-91da975a3cc5
1,Artillerize,034522ae-f531-44d9-b186-ada046ce0abc
1,Asphyxiate,894f3f5f-586d-45e4-9af7-4de80e44dfae
1,Assault Griffin,704286a5-e3a8-4517-85e5-6447c5c2530f
1,At Knifepoint,897d594d-b5b0-43dc-b877-b483942416ce
2,Atmosphere Surgeon,c66988ca-29d5-45ea-8d68-c8e0e4c3ffb1
1,Attended Knight,eac22a3b-4536-4372-a854-bc7f0919830b
1,Attentive Sunscribe,ad1a0159-7f00-429c-9318-b028b1e03ba8
1,Augmenting Automaton,7d017798-8278-4f9c-a691-912935c10c20
1,Aunt May,ad96343b-baac-428c-8270-fcffbbbe9fb8
3,Auriok Salvagers,befb996b-1da6-41a3-8d9a-a45c2353c401
1,Auspicious Arrival,5180c85c-6add-4066-83c4-27fb1fd4de16
1,Auspicious Arrival,49598c0a-3b3c-42a2-9358-ff072de9d9f2
1,Automatic Librarian,6c3d7ece-0f57-4213-a0ab-a9d7c1536ebb
2,Auxiliary Boosters,43706295-afd6-442c-8828-8cf978152701
1,Avatar Destiny,4d74da72-8443-4fce-9d64-d2041f6a3292
2,Avatar Enthusiasts,7292e5f2-d5a1-4e39-8f75-eba471819f04
1,Avatar's Wrath,4811072d-fac0-40dd-a5cf-9694d51b12cf
1,Aven Fleetwing,57626fd2-d101-4e23-946f-8309c9676fe5
1,Avenging Arrow,696678ff-44dc-4fe4-bf17-024e86cd0220
2,Avishkar Raceway,08a6b378-c7fa-4226-a310-4ee7e550b4d6
1,Azorius Guildgate,93cf5412-c711-41b4-ab3b-7788a0a22228
2,Azula Always Lies,416b9207-a2af-44d1-9b87-4943f6e46d42
1,Azula Always Lies,416b9207-a2af-44d1-9b87-4943f6e46d42
